Top	Group	accuracy	precision	recall	f1	spe	gm	fm
1	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
2	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
3	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
4	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
5	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
6	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
7	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
8	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
9	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
10	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
11	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
12	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
13	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
14	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
15	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
16	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
17	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
18	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
19	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
20	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
21	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
22	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
23	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
24	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
25	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
26	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
27	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
28	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
29	CC	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
1	TP	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
2	TP	0.586206897	1	0.142857143	0.25	1	0.377964473	0.377964473
3	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
4	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
5	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
6	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
7	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
8	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
9	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
10	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
11	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
12	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
13	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
14	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
15	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
16	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
17	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
18	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
19	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
20	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
21	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
22	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
23	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
24	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
25	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
26	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
27	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
28	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
29	TP	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
1	GT	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242
2	GT	0.586206897	1	0.142857143	0.25	1	0.377964473	0.377964473
3	GT	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005
4	GT	0.655172414	1	0.285714286	0.444444444	1	0.534522484	0.534522484
5	GT	0.689655172	1	0.357142857	0.526315789	1	0.597614305	0.597614305
6	GT	0.724137931	1	0.428571429	0.6	1	0.654653671	0.654653671
7	GT	0.75862069	1	0.5	0.666666667	1	0.707106781	0.707106781
8	GT	0.793103448	1	0.571428571	0.727272727	1	0.755928946	0.755928946
9	GT	0.75862069	0.888888889	0.571428571	0.695652174	0.933333333	0.730296743	0.712696645
10	GT	0.793103448	0.9	0.642857143	0.75	0.933333333	0.774596669	0.760638829
11	GT	0.827586207	0.909090909	0.714285714	0.8	0.933333333	0.816496581	0.805822964
12	GT	0.862068966	0.916666667	0.785714286	0.846153846	0.933333333	0.856348839	0.848668425
13	GT	0.896551724	0.923076923	0.857142857	0.888888889	0.933333333	0.894427191	0.88949918
14	GT	0.931034483	0.928571429	0.928571429	0.928571429	0.933333333	0.930949336	0.928571429
15	GT	0.896551724	0.866666667	0.928571429	0.896551724	0.866666667	0.897085227	0.897085227
16	GT	0.862068966	0.8125	0.928571429	0.866666667	0.8	0.861891607	0.868599036
17	GT	0.827586207	0.764705882	0.928571429	0.838709677	0.733333333	0.825198389	0.842664841
18	GT	0.793103448	0.722222222	0.928571429	0.8125	0.666666667	0.786795792	0.818923025
19	GT	0.75862069	0.684210526	0.928571429	0.787878788	0.6	0.746420027	0.797081141
20	GT	0.724137931	0.65	0.928571429	0.764705882	0.533333333	0.703731551	0.776898596
21	GT	0.689655172	0.619047619	0.928571429	0.742857143	0.466666667	0.658280589	0.758175397
22	GT	0.655172414	0.590909091	0.928571429	0.722222222	0.4	0.6094494	0.740743747
23	GT	0.620689655	0.565217391	0.928571429	0.702702703	0.333333333	0.55634864	0.724461676
24	GT	0.586206897	0.541666667	0.928571429	0.684210526	0.266666667	0.497613352	0.709208143
25	GT	0.551724138	0.52	0.928571429	0.666666667	0.2	0.430945804	0.694879229
26	GT	0.517241379	0.5	0.928571429	0.65	0.133333333	0.351865775	0.681385144
27	GT	0.482758621	0.481481481	0.928571429	0.634146341	0.066666667	0.248806676	0.66864785
28	GT	0.517241379	0.5	1	0.666666667	0.066666667	0.25819889	0.707106781
29	GT	0.482758621	0.482758621	1	0.651162791	0	0	0.694808334
